year_month,usd_krw,usd_jpy,usd_cny
2017-11,1102.2471458798364,112.88185773577008,6.623128573099772
2017-12,1083.7357003348213,112.97095235188802,6.597328549339657
2018-01,1065.7652163298233,111.14839139192,6.438082591347072
2018-02,1077.7295043945312,107.96650009155273,6.319825005531311
2018-03,1071.1222811612215,106.06068177656694,6.322504542090676
2018-04,1067.5604829334077,107.46604810442243,6.295628547668457
2018-05,1075.1704420006793,109.69347812818444,6.368060920549476
2018-06,1093.0138113839287,110.0316183907645,6.456771419161842
2018-07,1121.465010209517,111.38686405528675,6.706213625994596
2018-08,1120.1256475033967,111.04086933965269,6.845891309821087
2018-09,1120.3930114746095,111.88080101013183,6.853105044364929
2018-10,1131.0739109205163,112.79113072934358,6.914656473242718
2018-11,1127.2340864701705,113.28613662719727,6.938090931285512
2018-12,1122.182861328125,112.29442923409599,6.889190492175874
2019-01,1120.3026229194973,108.92682614533797,6.798756516498068
2019-02,1121.0520141601562,110.32680015563965,6.738525032997131
2019-03,1130.700950985863,111.16681017194476,6.711490517570859
2019-04,1140.1972711736505,111.65118200128728,6.714427254416726
2019-05,1180.6090975674715,110.03868241743608,6.8445681875402276
2019-06,1172.5094970703126,108.08679962158203,6.899684977531433
2019-07,1174.5882621433425,108.23056494671366,6.876665239748747
2019-08,1208.2722778320312,106.25004577636719,7.050036343661222
2019-09,1194.4380987258185,107.42657143729073,7.117304756527855
2019-10,1183.344774329144,108.1239998858908,7.099378233370573
2019-11,1167.0033249627977,108.82671392531623,7.0227350234985355
2019-12,1172.771817294034,109.1644103310325,7.015359076586637
2020-01,1163.9347826086957,109.24304298732592,6.925543453382409
2020-02,1193.281005859375,110.0249008178711,6.995414972305298
2020-03,1215.1695334694602,107.55068310824308,7.021045446395874
2020-04,1221.491826837713,107.817908893932,7.071004520763051
2020-05,1227.3157145182292,107.21990421840123,7.09999045871553
2020-06,1207.8881780450995,107.59527206420898,7.085359031503851
2020-07,1197.900003184443,106.81391309655231,7.0097391294396445
2020-08,1185.9595191592261,106.03023819696335,6.932857195536296
2020-09,1177.7059104225852,105.62836282903498,6.81435454975475
2020-10,1144.4104669744318,105.25790890780362,6.730809103358876
2020-11,1115.3604620070685,104.4163331531343,6.60752855028425
2020-12,1094.4721785835598,103.79569576097572,6.541334794915241
2021-01,1096.5547514415923,103.66004762195405,6.476371469951811
2021-02,1110.1339965820312,105.29344902038574,6.459029960632324
2021-03,1129.1325948963995,108.57465229863706,6.506078263987666
2021-04,1117.709999778054,109.09022764726119,6.521759098226374
2021-05,1122.3866722470239,109.1615233648391,6.433538073585147
2021-06,1120.9936356977983,110.1034989790483,6.4205545295368545
2021-07,1143.0345458984375,110.28895395452327,6.4750272360715
2021-08,1159.4245494495738,109.83345413208008,6.475913611325351
2021-09,1171.146367853338,110.1174087524414,6.456763657656583
2021-10,1181.8590611049108,113.07857150123233,6.420942851475307
2021-11,1184.7545387961648,114.15209093960848,6.3905909711664375
2021-12,1183.4804422129755,113.85400092083475,6.368195678876794
2022-01,1194.6919119698662,114.87780943371001,6.352561927977062
2022-02,1197.9424926757813,115.21955032348633,6.344334983825684
2022-03,1219.6352220618207,118.48600006103516,6.342673923658288
2022-04,1234.4080926804315,126.08423759823754,6.418195224943615
2022-05,1266.8390891335227,128.8650457208807,6.694413618607954
2022-06,1276.1818237304688,133.85690862482244,6.6940273154865615
2022-07,1305.6152401878721,136.7393798828125,6.731390476226807
2022-08,1319.222603175951,135.0917391569718,6.793682554493779
2022-09,1390.6036543412642,142.95354600386187,7.005972732197154
2022-10,1426.6133393787202,146.9229031517392,7.182876155489967
2022-11,1359.8031893643465,142.54354511607778,7.18129994652488
2022-12,1294.2686379172585,135.12318073619497,6.980081839994951
2023-01,1244.0736361416903,130.28650110418147,6.797468185424805
2023-02,1274.0454833984375,132.84025115966796,6.8301150560379025
2023-03,1305.2060865319293,133.820696623429,6.894539128179136
2023-04,1320.443994140625,133.23144989013673,6.885164952278137
2023-05,1328.405666185462,137.09295720639437,6.9793261237766435
2023-06,1295.409540349787,141.13082053444603,7.155690908432007
2023-07,1284.4285656156994,141.04361906505767,7.189276127588181
2023-08,1320.313911769701,144.71874071204144,7.228504305300505
2023-09,1332.5523739769346,147.65076192220053,7.283366634732201
2023-10,1349.0295354669745,149.46413629705256,7.267072720961138
