Month,Group,Keyword,SearchIndex
2024-07,Kculture,hanbok,53.0
2024-08,Kculture,hanbok,52.0
2024-09,Kculture,hanbok,67.0
2024-10,Kculture,hanbok,67.0
2024-11,Kculture,hanbok,57.0
2024-12,Kculture,hanbok,51.0
2025-01,Kculture,hanbok,62.0
2025-02,Kculture,hanbok,54.0
2025-03,Kculture,hanbok,53.0
2025-04,Kculture,hanbok,57.0
2025-05,Kculture,hanbok,59.0
2025-06,Kculture,hanbok,54.0
2025-07,Kculture,hanbok,67.0
2025-08,Kculture,hanbok,63.0
2025-09,Kculture,hanbok,81.0
2025-10,Kculture,hanbok,100.0
2015-01,Kculture,k culture,17.0
2015-02,Kculture,k culture,16.0
2015-03,Kculture,k culture,16.0
2015-04,Kculture,k culture,17.0
2015-05,Kculture,k culture,14.0
2015-06,Kculture,k culture,15.0
2015-07,Kculture,k culture,15.0
2015-08,Kculture,k culture,13.0
2015-09,Kculture,k culture,18.0
2015-10,Kculture,k culture,17.0
2015-11,Kculture,k culture,15.0
2015-12,Kculture,k culture,16.0
2016-01,Kculture,k culture,15.0
2016-02,Kculture,k culture,16.0
2016-03,Kculture,k culture,17.0
2016-04,Kculture,k culture,17.0
2016-05,Kculture,k culture,16.0
2016-06,Kculture,k culture,16.0
2016-07,Kculture,k culture,16.0
2016-08,Kculture,k culture,13.0
2016-09,Kculture,k culture,17.0
2016-10,Kculture,k culture,18.0
2016-11,Kculture,k culture,18.0
2016-12,Kculture,k culture,16.0
2017-01,Kculture,k culture,20.0
2017-02,Kculture,k culture,19.0
2017-03,Kculture,k culture,18.0
2017-04,Kculture,k culture,15.0
2017-05,Kculture,k culture,14.0
2017-06,Kculture,k culture,15.0
2017-07,Kculture,k culture,16.0
2017-08,Kculture,k culture,13.0
2017-09,Kculture,k culture,15.0
2017-10,Kculture,k culture,18.0
2017-11,Kculture,k culture,15.0
2017-12,Kculture,k culture,15.0
2018-01,Kculture,k culture,22.0
2018-02,Kculture,k culture,18.0
2018-03,Kculture,k culture,17.0
2018-04,Kculture,k culture,16.0
2018-05,Kculture,k culture,15.0
2018-06,Kculture,k culture,15.0
2018-07,Kculture,k culture,14.0
2018-08,Kculture,k culture,12.0
2018-09,Kculture,k culture,16.0
2018-10,Kculture,k culture,17.0
2018-11,Kculture,k culture,18.0
2018-12,Kculture,k culture,18.0
2019-01,Kculture,k culture,16.0
2019-02,Kculture,k culture,17.0
2019-03,Kculture,k culture,15.0
2019-04,Kculture,k culture,18.0
2019-05,Kculture,k culture,17.0
2019-06,Kculture,k culture,18.0
2019-07,Kculture,k culture,14.0
2019-08,Kculture,k culture,15.0
2019-09,Kculture,k culture,21.0
2019-10,Kculture,k culture,21.0
2019-11,Kculture,k culture,18.0
2019-12,Kculture,k culture,16.0
2020-01,Kculture,k culture,16.0
2020-02,Kculture,k culture,18.0
2020-03,Kculture,k culture,17.0
2020-04,Kculture,k culture,18.0
2020-05,Kculture,k culture,14.0
2020-06,Kculture,k culture,18.0
2020-07,Kculture,k culture,20.0
2020-08,Kculture,k culture,18.0
2020-09,Kculture,k culture,22.0
2020-10,Kculture,k culture,30.0
2020-11,Kculture,k culture,26.0
2020-12,Kculture,k culture,25.0
2021-01,Kculture,k culture,22.0
2021-02,Kculture,k culture,25.0
2021-03,Kculture,k culture,30.0
2021-04,Kculture,k culture,28.0
2021-05,Kculture,k culture,23.0
2021-06,Kculture,k culture,21.0
2021-07,Kculture,k culture,19.0
2021-08,Kculture,k culture,16.0
2021-09,Kculture,k culture,21.0
2021-10,Kculture,k culture,22.0
2021-11,Kculture,k culture,25.0
2021-12,Kculture,k culture,19.0
2022-01,Kculture,k culture,28.0
2022-02,Kculture,k culture,32.0
2022-03,Kculture,k culture,32.0
2022-04,Kculture,k culture,30.0
2022-05,Kculture,k culture,29.0
2022-06,Kculture,k culture,31.0
2022-07,Kculture,k culture,25.0
2022-08,Kculture,k culture,24.0
2022-09,Kculture,k culture,31.0
2022-10,Kculture,k culture,32.0
2022-11,Kculture,k culture,28.0
2022-12,Kculture,k culture,30.0
2023-01,Kculture,k culture,35.0
2023-02,Kculture,k culture,34.0
2023-03,Kculture,k culture,29.0
2023-04,Kculture,k culture,31.0
2023-05,Kculture,k culture,29.0
2023-06,Kculture,k culture,26.0
2023-07,Kculture,k culture,23.0
2023-08,Kculture,k culture,21.0
2023-09,Kculture,k culture,23.0
2023-10,Kculture,k culture,26.0
2023-11,Kculture,k culture,27.0
2023-12,Kculture,k culture,24.0
2024-01,Kculture,k culture,29.0
2024-02,Kculture,k culture,29.0
2024-03,Kculture,k culture,27.0
2024-04,Kculture,k culture,24.0
2024-05,Kculture,k culture,25.0
2024-06,Kculture,k culture,27.0
2024-07,Kculture,k culture,21.0
2024-08,Kculture,k culture,24.0
2024-09,Kculture,k culture,30.0
2024-10,Kculture,k culture,29.0
2024-11,Kculture,k culture,27.0
2024-12,Kculture,k culture,28.0
2025-01,Kculture,k culture,26.0
2025-02,Kculture,k culture,31.0
2025-03,Kculture,k culture,26.0
2025-04,Kculture,k culture,28.0
2025-05,Kculture,k culture,29.0
2025-06,Kculture,k culture,36.0
2025-07,Kculture,k culture,39.0
2025-08,Kculture,k culture,91.0
2025-09,Kculture,k culture,100.0
2025-10,Kculture,k culture,94.0
2015-01,Kculture,k-beauty,1.0
2015-02,Kculture,k-beauty,0.0
2015-03,Kculture,k-beauty,0.0
2015-04,Kculture,k-beauty,1.0
2015-05,Kculture,k-beauty,0.0
2015-06,Kculture,k-beauty,0.0
2015-07,Kculture,k-beauty,0.0
2015-08,Kculture,k-beauty,0.0
2015-09,Kculture,k-beauty,1.0
2015-10,Kculture,k-beauty,1.0
2015-11,Kculture,k-beauty,1.0
2015-12,Kculture,k-beauty,1.0
2016-01,Kculture,k-beauty,2.0
2016-02,Kculture,k-beauty,1.0
2016-03,Kculture,k-beauty,1.0
2016-04,Kculture,k-beauty,2.0
2016-05,Kculture,k-beauty,1.0
2016-06,Kculture,k-beauty,1.0
2016-07,Kculture,k-beauty,1.0
2016-08,Kculture,k-beauty,2.0
2016-09,Kculture,k-beauty,1.0
2016-10,Kculture,k-beauty,1.0
2016-11,Kculture,k-beauty,2.0
2016-12,Kculture,k-beauty,2.0
2017-01,Kculture,k-beauty,2.0
2017-02,Kculture,k-beauty,2.0
2017-03,Kculture,k-beauty,3.0
2017-04,Kculture,k-beauty,3.0
2017-05,Kculture,k-beauty,2.0
2017-06,Kculture,k-beauty,2.0
2017-07,Kculture,k-beauty,3.0
2017-08,Kculture,k-beauty,3.0
2017-09,Kculture,k-beauty,3.0
2017-10,Kculture,k-beauty,4.0
2017-11,Kculture,k-beauty,4.0
2017-12,Kculture,k-beauty,3.0
2018-01,Kculture,k-beauty,4.0
2018-02,Kculture,k-beauty,4.0
2018-03,Kculture,k-beauty,4.0
2018-04,Kculture,k-beauty,4.0
2018-05,Kculture,k-beauty,4.0
2018-06,Kculture,k-beauty,3.0
2018-07,Kculture,k-beauty,3.0
2018-08,Kculture,k-beauty,3.0
2018-09,Kculture,k-beauty,4.0
2018-10,Kculture,k-beauty,4.0
2018-11,Kculture,k-beauty,5.0
2018-12,Kculture,k-beauty,3.0
2019-01,Kculture,k-beauty,3.0
2019-02,Kculture,k-beauty,4.0
2019-03,Kculture,k-beauty,4.0
2019-04,Kculture,k-beauty,4.0
2019-05,Kculture,k-beauty,4.0
2019-06,Kculture,k-beauty,3.0
2019-07,Kculture,k-beauty,3.0
2019-08,Kculture,k-beauty,4.0
2019-09,Kculture,k-beauty,4.0
2019-10,Kculture,k-beauty,4.0
2019-11,Kculture,k-beauty,4.0
2019-12,Kculture,k-beauty,4.0
2020-01,Kculture,k-beauty,4.0
2020-02,Kculture,k-beauty,4.0
2020-03,Kculture,k-beauty,4.0
2020-04,Kculture,k-beauty,4.0
2020-05,Kculture,k-beauty,4.0
2020-06,Kculture,k-beauty,4.0
2020-07,Kculture,k-beauty,4.0
2020-08,Kculture,k-beauty,4.0
2020-09,Kculture,k-beauty,4.0
2020-10,Kculture,k-beauty,4.0
2020-11,Kculture,k-beauty,4.0
2020-12,Kculture,k-beauty,4.0
2021-01,Kculture,k-beauty,3.0
2021-02,Kculture,k-beauty,4.0
2021-03,Kculture,k-beauty,4.0
2021-04,Kculture,k-beauty,4.0
2021-05,Kculture,k-beauty,3.0
2021-06,Kculture,k-beauty,4.0
2021-07,Kculture,k-beauty,4.0
2021-08,Kculture,k-beauty,3.0
2021-09,Kculture,k-beauty,4.0
2021-10,Kculture,k-beauty,4.0
2021-11,Kculture,k-beauty,4.0
2021-12,Kculture,k-beauty,4.0
2022-01,Kculture,k-beauty,5.0
2022-02,Kculture,k-beauty,5.0
2022-03,Kculture,k-beauty,4.0
2022-04,Kculture,k-beauty,5.0
2022-05,Kculture,k-beauty,5.0
2022-06,Kculture,k-beauty,4.0
2022-07,Kculture,k-beauty,4.0
2022-08,Kculture,k-beauty,5.0
2022-09,Kculture,k-beauty,4.0
2022-10,Kculture,k-beauty,4.0
2022-11,Kculture,k-beauty,5.0
2022-12,Kculture,k-beauty,4.0
2023-01,Kculture,k-beauty,5.0
2023-02,Kculture,k-beauty,5.0
2023-03,Kculture,k-beauty,5.0
2023-04,Kculture,k-beauty,4.0
2023-05,Kculture,k-beauty,6.0
2023-06,Kculture,k-beauty,6.0
2023-07,Kculture,k-beauty,6.0
2023-08,Kculture,k-beauty,6.0
2023-09,Kculture,k-beauty,6.0
2023-10,Kculture,k-beauty,6.0
2023-11,Kculture,k-beauty,7.0
2023-12,Kculture,k-beauty,6.0
2024-01,Kculture,k-beauty,7.0
2024-02,Kculture,k-beauty,7.0
2024-03,Kculture,k-beauty,8.0
2024-04,Kculture,k-beauty,7.0
2024-05,Kculture,k-beauty,7.0
